,k,accuracy,model,epoch
307,16,60.87,hopfield,7
308,16,60.81,hopfield,8
309,16,59.96,hopfield,9
310,16,60.73,hopfield,10
311,16,60.31,hopfield,11
312,16,60.24,hopfield,12
313,16,59.77,hopfield,13
314,16,60.89,hopfield,14
315,16,60.21,hopfield,15
316,16,60.05,hopfield,16
317,16,60.18,hopfield,17
318,16,60.84,hopfield,18
319,16,60.4,hopfield,19
320,16,59.99,hopfield,20
321,16,60.98,hopfield,21
322,16,60.88,hopfield,22
323,16,60.53,hopfield,23
324,16,60.13,hopfield,24
325,16,60.55,hopfield,25
326,16,61.23,hopfield,26
327,16,60.3,hopfield,27
328,16,60.23,hopfield,28
329,16,60.95,hopfield,29
330,16,60.63,hopfield,30
331,16,61.05,hopfield,31
332,16,61.31,hopfield,32
333,16,60.5,hopfield,33
334,16,61.65,hopfield,34
335,16,61.4,hopfield,35
336,16,60.08,hopfield,36
337,16,60.93,hopfield,37
338,16,60.99,hopfield,38
339,16,60.69,hopfield,39
340,16,60.16,hopfield,40
341,16,60.43,hopfield,41
342,16,60.79,hopfield,42
343,16,61.4,hopfield,43
344,16,60.48,hopfield,44
345,16,61.47,hopfield,45
346,16,60.59,hopfield,46
347,16,59.68,hopfield,47
348,16,59.39,hopfield,48
349,16,61.09,hopfield,49
350,16,61.01,hopfield,50
351,16,60.97,hopfield,51
352,16,60.78,hopfield,52
353,16,60.96,hopfield,53
354,16,61.08,hopfield,54
355,16,60.46,hopfield,55
356,16,60.48,hopfield,56
357,16,60.75,hopfield,57
358,16,60.7,hopfield,58
359,16,61.03,hopfield,59
360,16,60.01,hopfield,60
361,16,59.89,hopfield,61
362,16,60.91,hopfield,62
363,16,60.62,hopfield,63
364,16,60.84,hopfield,64
365,16,59.94,hopfield,65
366,16,61.01,hopfield,66
367,16,61.16,hopfield,67
368,16,60.79,hopfield,68
369,16,60.66,hopfield,69
370,16,60.87,hopfield,70
371,16,61.49,hopfield,71
372,16,60.91,hopfield,72
373,16,60.38,hopfield,73
374,16,60.88,hopfield,74
375,16,62.24,hopfield,75
376,16,61.33,hopfield,76
377,16,60.83,hopfield,77
378,16,61.07,hopfield,78
379,16,60.68,hopfield,79
380,16,60.87,hopfield,80
381,16,60.35,hopfield,81
382,16,61.23,hopfield,82
383,16,60.54,hopfield,83
384,16,60.67,hopfield,84
385,16,61.02,hopfield,85
386,16,61.07,hopfield,86
387,16,61.37,hopfield,87
388,16,61.36,hopfield,88
389,16,61.34,hopfield,89
390,16,61.18,hopfield,90
391,16,60.68,hopfield,91
392,16,60.75,hopfield,92
393,16,61.05,hopfield,93
394,16,61.13,hopfield,94
395,16,61.25,hopfield,95
396,16,61.4,hopfield,96
397,16,60.9,hopfield,97
398,16,61.39,hopfield,98
399,16,60.77,hopfield,99
400,1,38.41,hopfield,0
401,1,47.58,hopfield,1
402,1,49.7,hopfield,2
403,1,53.16,hopfield,3
404,1,54.83,hopfield,4
405,1,56.89,hopfield,5
406,1,56.77,hopfield,6
407,1,58.61,hopfield,7
408,1,58.61,hopfield,8
409,1,59.88,hopfield,9
410,1,58.74,hopfield,10
411,1,61.95,hopfield,11
412,1,60.94,hopfield,12
413,1,60.64,hopfield,13
414,1,61.75,hopfield,14
415,1,61.26,hopfield,15
416,1,58.91,hopfield,16
417,1,61.46,hopfield,17
418,1,62.32,hopfield,18
419,1,61.86,hopfield,19
420,1,61.63,hopfield,20
421,1,60.95,hopfield,21
422,1,61.69,hopfield,22
423,1,61.47,hopfield,23
424,1,60.61,hopfield,24
425,1,60.77,hopfield,25
426,1,60.21,hopfield,26
427,1,60.57,hopfield,27
428,1,60.56,hopfield,28
429,1,60.14,hopfield,29
430,1,59.7,hopfield,30
431,1,58.86,hopfield,31
432,1,59.74,hopfield,32
433,1,60.54,hopfield,33
434,1,60.39,hopfield,34
435,1,59.23,hopfield,35
436,1,59.64,hopfield,36
437,1,60.05,hopfield,37
438,1,58.07,hopfield,38
439,1,59.8,hopfield,39
440,1,59.25,hopfield,40
441,1,59.41,hopfield,41
442,1,59.54,hopfield,42
443,1,59.53,hopfield,43
444,1,59.58,hopfield,44
445,1,59.22,hopfield,45
446,1,59.86,hopfield,46
447,1,59.15,hopfield,47
448,1,58.27,hopfield,48
449,1,59.27,hopfield,49
450,1,59.32,hopfield,50
451,1,58.55,hopfield,51
452,1,59.12,hopfield,52
453,1,59.38,hopfield,53
454,1,58.45,hopfield,54
455,1,59.41,hopfield,55
456,1,59.56,hopfield,56
457,1,59.77,hopfield,57
458,1,59.41,hopfield,58
459,1,58.89,hopfield,59
460,1,58.73,hopfield,60
461,1,58.43,hopfield,61
462,1,58.98,hopfield,62
463,1,59.51,hopfield,63
464,1,59.27,hopfield,64
465,1,58.44,hopfield,65
466,1,59.38,hopfield,66
467,1,59.0,hopfield,67
468,1,58.26,hopfield,68
469,1,59.37,hopfield,69
470,1,59.0,hopfield,70
471,1,58.84,hopfield,71
472,1,58.67,hopfield,72
473,1,58.94,hopfield,73
474,1,58.76,hopfield,74
475,1,59.52,hopfield,75
476,1,58.5,hopfield,76
477,1,59.38,hopfield,77
478,1,58.38,hopfield,78
479,1,58.52,hopfield,79
480,1,58.53,hopfield,80
481,1,59.76,hopfield,81
482,1,59.33,hopfield,82
483,1,58.96,hopfield,83
484,1,58.91,hopfield,84
485,1,59.15,hopfield,85
486,1,58.89,hopfield,86
487,1,58.88,hopfield,87
488,1,59.89,hopfield,88
489,1,59.05,hopfield,89
490,1,59.11,hopfield,90
491,1,58.55,hopfield,91
492,1,59.29,hopfield,92
493,1,59.39,hopfield,93
494,1,58.83,hopfield,94
495,1,59.12,hopfield,95
496,1,59.09,hopfield,96
497,1,58.82,hopfield,97
498,1,58.93,hopfield,98
499,1,59.08,hopfield,99
500,4,41.65,hopfield,0
501,4,48.39,hopfield,1
502,4,51.52,hopfield,2
503,4,52.25,hopfield,3
504,4,54.42,hopfield,4
505,4,55.61,hopfield,5
506,4,57.26,hopfield,6
507,4,57.27,hopfield,7
508,4,58.99,hopfield,8
509,4,59.3,hopfield,9
510,4,60.41,hopfield,10
511,4,61.18,hopfield,11
512,4,61.58,hopfield,12
513,4,61.4,hopfield,13
514,4,61.43,hopfield,14
515,4,61.58,hopfield,15
516,4,61.36,hopfield,16
517,4,61.12,hopfield,17
518,4,61.58,hopfield,18
519,4,60.39,hopfield,19
520,4,61.62,hopfield,20
521,4,60.38,hopfield,21
522,4,60.3,hopfield,22
523,4,60.16,hopfield,23
524,4,59.96,hopfield,24
525,4,60.16,hopfield,25
