,k,accuracy,model,epoch
312,16,97.78,hopfield,12
313,16,97.53,hopfield,13
314,16,97.63,hopfield,14
315,16,97.89,hopfield,15
316,16,97.95,hopfield,16
317,16,97.92,hopfield,17
318,16,97.83,hopfield,18
319,16,98.1,hopfield,19
320,16,97.82,hopfield,20
321,16,97.57,hopfield,21
322,16,98.03,hopfield,22
323,16,98.14,hopfield,23
324,16,98.12,hopfield,24
325,16,97.93,hopfield,25
326,16,97.77,hopfield,26
327,16,97.92,hopfield,27
328,16,98.16,hopfield,28
329,16,97.93,hopfield,29
330,16,97.97,hopfield,30
331,16,97.79,hopfield,31
332,16,98.12,hopfield,32
333,16,98.23,hopfield,33
334,16,98.01,hopfield,34
335,16,97.71,hopfield,35
336,16,97.81,hopfield,36
337,16,97.9,hopfield,37
338,16,98.24,hopfield,38
339,16,98.27,hopfield,39
340,16,98.57,hopfield,40
341,16,98.45,hopfield,41
342,16,98.5,hopfield,42
343,16,98.52,hopfield,43
344,16,98.53,hopfield,44
345,16,98.53,hopfield,45
346,16,98.56,hopfield,46
347,16,98.57,hopfield,47
348,16,98.59,hopfield,48
349,16,98.61,hopfield,49
350,16,98.61,hopfield,50
351,16,98.6,hopfield,51
352,16,98.6,hopfield,52
353,16,98.59,hopfield,53
354,16,98.61,hopfield,54
355,16,98.61,hopfield,55
356,16,98.6,hopfield,56
357,16,98.62,hopfield,57
358,16,98.65,hopfield,58
359,16,98.65,hopfield,59
360,16,98.64,hopfield,60
361,16,98.64,hopfield,61
362,16,98.64,hopfield,62
363,16,98.64,hopfield,63
364,16,98.64,hopfield,64
365,16,98.63,hopfield,65
366,16,98.64,hopfield,66
367,16,98.64,hopfield,67
368,16,98.64,hopfield,68
369,16,98.64,hopfield,69
370,16,98.64,hopfield,70
371,16,98.62,hopfield,71
372,16,98.64,hopfield,72
373,16,98.65,hopfield,73
374,16,98.63,hopfield,74
375,16,98.64,hopfield,75
376,16,98.62,hopfield,76
377,16,98.63,hopfield,77
378,16,98.63,hopfield,78
379,16,98.63,hopfield,79
380,16,98.64,hopfield,80
381,16,98.64,hopfield,81
382,16,98.65,hopfield,82
383,16,98.64,hopfield,83
384,16,98.65,hopfield,84
385,16,98.65,hopfield,85
386,16,98.65,hopfield,86
387,16,98.65,hopfield,87
388,16,98.65,hopfield,88
389,16,98.65,hopfield,89
390,16,98.64,hopfield,90
391,16,98.64,hopfield,91
392,16,98.65,hopfield,92
393,16,98.65,hopfield,93
394,16,98.65,hopfield,94
395,16,98.64,hopfield,95
396,16,98.63,hopfield,96
397,16,98.63,hopfield,97
398,16,98.63,hopfield,98
399,16,98.63,hopfield,99
400,1,92.34,hopfield,0
401,1,94.04,hopfield,1
402,1,95.12,hopfield,2
403,1,96.07,hopfield,3
404,1,96.45,hopfield,4
405,1,96.59,hopfield,5
406,1,96.49,hopfield,6
407,1,96.87,hopfield,7
408,1,96.7,hopfield,8
409,1,97.17,hopfield,9
410,1,97.41,hopfield,10
411,1,97.08,hopfield,11
412,1,97.23,hopfield,12
413,1,97.04,hopfield,13
414,1,97.26,hopfield,14
415,1,96.47,hopfield,15
416,1,97.11,hopfield,16
417,1,97.04,hopfield,17
418,1,97.01,hopfield,18
419,1,97.16,hopfield,19
420,1,97.11,hopfield,20
421,1,96.88,hopfield,21
422,1,97.34,hopfield,22
423,1,97.29,hopfield,23
424,1,97.41,hopfield,24
425,1,97.38,hopfield,25
426,1,97.35,hopfield,26
427,1,97.17,hopfield,27
428,1,97.19,hopfield,28
429,1,97.3,hopfield,29
430,1,97.52,hopfield,30
431,1,96.74,hopfield,31
432,1,97.46,hopfield,32
433,1,97.31,hopfield,33
434,1,97.19,hopfield,34
435,1,97.55,hopfield,35
436,1,97.62,hopfield,36
437,1,97.84,hopfield,37
